Sample,TechnicalReplicates,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty
ZEFL018,ZEFL018,ZEFL018,11.17,ZE18_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,227.7,20.2,16.8,NA,31.1,0.71,0.999,M,0.93,N
ZEFL019.dup1.15ul,ZEFL019,ZEFL019,11.17,ZE19_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,163.3,18.8,15.7,NA,24.33,NA,0.999,M,0.26,N
ZEFL019.dup2.5ul,ZEFL019,ZEFL019,11.17,ZE19_5ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,76.1,14.2,11.7,NA,8.81,NA,0.999,F,0.36,~
ZEFL020,ZEFL020,ZEFL020,11.17,ZE20_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,76.1,14.2,11.7,NA,8.81,NA,0.999,F,0.36,~
ZEFL021.dup1.15ul,ZEFL021,ZEFL021,11.17,ZE21_15ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,169.7,19.7,16.5,NA,26.9,NA,0.999,M,0.17,N
ZEFL021.dup2.5ul,ZEFL021,ZEFL021,11.17,ZE21_5ul_11.17,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,169.7,19.7,16.5,NA,26.9,NA,0.999,M,0.17,N
ZEFL022A.15ul,ZEFL022A,ZEFL022,11.17,ZE22_15ul_11.17_dupZEFL023,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,127.9,17,14.3,NA,22.39,NA,0.999,F,0.56,N
ZEFL022B,ZEFL022B,ZEFL022,11.17,ZE23_11.17_dupZEFL022,ZEFL,S.ShoreViewpoint_MAUI,4/15/17,127.9,17,14.3,NA,22.39,NA,0.999,F,0.56,N
ZEFL026,ZEFL026,ZEFL026,11.17,ZE26_11.17,ZEFL,KaneoheBay_OAH,4/20/17,35.29,10.6,8,NA,7.145,0.364,0.999,F,0.38,N
ZEFL027,ZEFL027,ZEFL027,11.17,ZE27_11.17,ZEFL,KaneoheBay_OAH,4/20/17,46.9,12,9.2,NA,9.693,NA,0.999,F,0.611,Y
ZEFL028A,ZEFL028A,ZEFL028,9.3.19,ZEFL028A_9.6.19,ZEFL,Olowalu_MAUI,4/13/17,184.44,19.2,14.7,NA,23.35,0.562,3.641,M,1.575,N
ZEFL028B,ZEFL028B,ZEFL028,9.3.19,ZEFL028B_9.6.19,ZEFL,Olowalu_MAUI,4/13/17,184.44,19.2,14.7,NA,23.35,0.562,3.641,M,1.575,N
ZEFL029B,ZEFL029B,ZEFL029,9.3.19,ZEFL029B_9.6.19,ZEFL,Olowalu_MAUI,4/13/17,99.1,16,12.2,NA,14.477,0.266,0.172,M,0.627,Y
