TechnicalReplicates,Sample,BiologicalReplicate,SequencingDate,Sample_orig,SpeciesCode,Site,CollectionDate,Wt_g,TL_cm,SL_cm,FL_cm,Intest_Wt_g,Liver_Wt_g,Gonad_Wt_g,Gonad_MF,StCtns_Wt_g,Fatty,Notes,adiv,simp
ACNF061,ACNF061.dup1,ACNF061,9.3.19,ACNF061.1_9.6.19,ACNF,HaleiwaFishBowl_OAH,8/12/16,54.18,14.5,10.9,12.6,4.19,0.68,1.81,F,0.21,N,frozen,51,0.753262654
ACNF062,ACNF062,ACNF062,9.3.19,ACNF062_9.6.19,ACNF,Mokuleia_OAH,8/19/16,63.38,15,11.2,12.9,5.87,0.61,4.39,M,0.31,N,frozen,43,0.814884584
ACNF063,ACNF063,ACNF063,8.23.19,ACNF063_8.19,ACNF,Mokuleia_OAH,8/19/16,69.14,15.2,11,13.1,5.41,0.5,2.41,M,0.29,N,frozen,45,0.844444082
ACNF065,ACNF065,ACNF065,9.3.19,ACNF065_9.6.19,ACNF,Mokuleia_OAH,8/19/16,93.75,17.7,12.5,14.9,NA,0.65,4.58,M,0.4,N,"frozen, forgot to weigh intestines",35,0.767983038
ACNF066,ACNF066,ACNF066,8.23.19,ACNF066_8.19,ACNF,Mokuleia_OAH,8/19/16,62.53,15.2,11.3,13,6.14,0.63,2.2,F,0.26,N,frozen,39,0.8664446
ACNF067,ACNF067,ACNF067,9.3.19,ACNF067_9.6.19,ACNF,Mokuleia_OAH,12/13/15,79.07,17.6,12.6,15,10.51,0.86,NA,NA,0.54,N,frozen,27,0.792619754
ACNF068,ACNF068,ACNF068,9.3.19,ACNF068_9.6.19,ACNF,Mokuleia_OAH,12/13/15,41.97,13.7,9.9,11.9,3.52,NA,NA,NA,0.19,N,frozen,27,0.813583483
ACNF069,ACNF069,ACNF069,11.17,NF69_11.17,ACNF,Maunalua_OAH,12/13/15,113.04,20,15.4,17.9,14.19,0.35,NA,NA,0.59,N,"frozen, liquid liver, lots of sediment",31,0.825589824
ACNF071,ACNF071,ACNF071,11.17,NF71_11.17,ACNF,HaleiwaFishBowl_OAH,8/12/16,71.75,14.8,12.6,10.3,5.91,0.79,3.87,M,0.33,N,frozen,48,0.823627439
ACNF073,ACNF073,ACNF073,11.17,NF73_11.17,ACNF,HaleiwaFishBowl_OAH,8/12/16,49.41,14,13.4,10.9,3.28,0.54,1.23,M,0.19,N,frozen,48,0.882522407
ACNF074,ACNF074,ACNF074,11.17,NF74_11.17,ACNF,HaleiwaFishBowl_OAH,8/12/16,45.77,14.3,12,10.2,3.25,0.5,0.04,0.14,NA,N,frozen,51,0.760007342
ACNF075,ACNF075,ACNF075,11.17,NF75_11.17,ACNF,AlaMoana_OAH,11/13/16,55.98,15.5,11,13.3,4.46,0.45,NA,NA,0.13,N,frozen,45,0.846385983
ACNF076,ACNF076,ACNF076,11.17,NF76_11.17,ACNF,AlaMoana_OAH,11/13/16,59.87,15.4,11,13.3,6.09,0.7,0.27,M,0.38,N,frozen,37,0.629921822
ACNF077,ACNF077,ACNF077,11.17,NF77_11.17,ACNF,AlaMoana_OAH,11/13/16,51.78,14.6,10.9,12.8,2.83,0.61,NA,NA,0.09,N,"frozen, supplemented with intestine",31,0.861835711
ACNF078,ACNF078,ACNF078,11.17,NF78_11.17,ACNF,AlaMoana_OAH,11/13/16,53.09,15.4,10.5,12.8,4.89,0.52,0.13,M,0.27,N,frozen,46,0.84010166
ACNF079,ACNF079,ACNF079,11.17,NF79_11.17,ACNF,AlaMoana_OAH,11/13/16,58.61,16,11,13.4,3.99,0.43,0.11,M,0.25,N,frozen,52,0.84358086
ACNF080,ACNF080,ACNF080,11.17,NF80_11.17,ACNF,AlaMoana_OAH,11/13/16,63.62,16,11.5,13.8,5.04,0.78,NA,NA,0.16,N,"frozen, supplemented with intestine",50,0.884386342
ACNF081,ACNF081.dup1,ACNF081,9.3.19,ACNF081_9.6.19,ACNF,AlaMoana_OAH,11/13/16,60.79,15.4,10.8,12.8,4.79,0.4,0.08,M,0.31,N,frozen,45,0.800891749
ACNF083,ACNF083.dup1,ACNF083,9.3.19,ACNF083.1_9.6.19,ACNF,AlaMoana_OAH,11/13/16,54.7,14.8,11,12.9,5.24,0.32,NA,NA,0.24,N,frozen. Lots of sand,51,0.877083736
ACNF084,ACNF084.dup1,ACNF084,9.3.19,ACNF084.1_9.6.19,ACNF,AlaMoana_OAH,11/13/16,70.67,16,11.5,13.9,6.73,0.41,0.13,M,0.34,N,frozen. Lots of sand,47,0.821143143
ACNF085,ACNF085.dup1,ACNF085,9.3.19,ACNF085.1_9.6.19,ACNF,AlaMoana_OAH,11/13/16,58.13,15.2,10.1,12.6,4.28,0.64,NA,NA,0.24,~,frozen,52,0.809890495
ACNF086,ACNF086.dup1,ACNF086,9.3.19,ACNF086.1_9.6.19,ACNF,AlaMoana_OAH,11/13/16,52.04,14.5,10.5,12.5,5.34,0.58,NA,NA,0.24,N,frozen. Lots of sand,38,0.696481889
ACNF087,ACNF087.dup1,ACNF087,9.3.19,ACNF087.1_9.6.19,ACNF,AlaMoana_OAH,11/13/16,63.07,15.5,11,13.5,7.07,0.47,NA,NA,0.35,N,frozen,45,0.813640297
ACNF088,ACNF088.dup1,ACNF088,9.3.19,ACNF088_9.6.19,ACNF,AlaMoana_OAH,11/13/16,57.66,14.9,10.5,12.8,4.3,0.48,NA,NA,0.16,N,frozen,45,0.726933241
ACNF089,ACNF089,ACNF089,9.3.19,ACNF089_9.6.19,ACNF,AlaMoana_OAH,11/13/16,62.68,15.2,11.1,13.3,7.27,0.71,0.09,?,0.27,N,frozen,34,0.759916455
ACNF090,ACNF090.dup1,ACNF090,9.3.19,ACNF090.1_9.6.19,ACNF,AlaMoana_OAH,11/13/16,35.06,13.1,9,10.3,3.29,0.26,NA,NA,0.09,N,"frozen, supplemented with intestine",43,0.879950069
ACNF091,ACNF091,ACNF091,11.17,NF91_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,60.46,15.9,11,13.5,4.97,0.67,NA,NA,0.15,N,frozen,39,0.804573893
ACNF092,ACNF092,ACNF092,11.17,NF92_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,46.01,14.2,9.9,11.9,2.97,0.35,0.08,?,0.11,N,"frozen, liquid liver, supplemented with intestine",42,0.858885902
ACNF093,ACNF093,ACNF093,11.17,NF93_11.17,ACNF,AlaMoana_OAH,11/13/16,54.53,15,10.5,12.6,3.75,0.29,1.12,M,NA,N,"frozen, supplemented with intestine",21,0.705732453
ACNF094,ACNF094,ACNF094,11.17,NF94_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,37.74,13.5,8.9,11.3,3.4,0.34,0.03,?,0.11,N,"frozen, supplemented with intestine",43,0.759684195
ACNF095,ACNF095,ACNF095,11.17,NF95_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,55.34,15.2,10.9,13,3.34,0.38,0.02,?,0.1,N,"frozen, supplemented with intestine",46,0.823748796
ACNF096,ACNF096,ACNF096,11.17,NF96_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,59.56,15.1,13,10.2,3.53,0.63,0.06,?,0.07,N,"frozen, supplemented with intestine",41,0.818216357
ACNF097,ACNF097,ACNF097,11.17,NF97_15ul_11.17,ACNF,AlaMoana_OAH,11/13/16,54.17,14.3,10.5,12.6,4.26,0.73,0.09,?,0.24,N,frozen,50,0.741905551
ACNF099,ACNF099.dup1,ACNF099,9.3.19,ACNF099.1_9.6.19,ACNF,HaleiwaFishBowl_OAH,8/11/16,55.24,14.3,10.5,12.7,4.59,0.56,1.91,M,0.14,N,"frozen, supplemented with intestine",43,0.836940241
ACNF116,ACNF116,ACNF116,9.3.19,ACNF116_9.6.19,ACNF,Olowalu_MAUI,4/13/17,42.12,14.6,9.5,12,3.505,0.097,1.148,M,0.155,N,"frozen, supplemented with intestine",29,0.850347895
ACNF117,ACNF117,ACNF117,9.3.19,ACNF117_9.6.19,ACNF,Olowalu_MAUI,4/13/17,52.13,15.2,10.1,12.8,4.513,0.603,1.794,M,0.135,N,"frozen, supplemented with intestine",36,0.84668292
