taxon,rank,kingdom,phylum,class,order,family,genus,species,1.29.17.NEG_9.6.19,1.4.2018.NEG_9.6.19,1.5.18.NEG_9.6.19,1.5.18.NEG-1_8.19,1.5.18.NEG.2_8.19,1.5.18.NEG.dup1_9.6.19,11.30.17.NEG_8.19,5.2.18.NEG_9.6.19,5.7.18.NEG_9.6.19,5.16.17.NEG_9.6.19,EXTRACT.NEG_S200_9.6.19,INDEX.NEG.1_S216_8.19,INDEX.NEG.2_S220_8.19,NEG_11.17,1.7.18.NEG_8.19,1-4-2018-NEG_9.6.19,1-29-19-NEG_8.19,1-4-17-NEG_9.6.19,1-5-18-NEG-dup2_9.6.19,1-7-18-NEG-2_8.19,12-5-17-NEG_8.19,ACTR591_8.19,ACTR589_9.6.19,ACLE017_8.19,ACGU001A_9.6.19,ACGU002A_9.6.19,ACGU002A_9.6.19,ACTR080_8.19,ACNI003_9.6.19,ACTR590_9.6.19,ACTR076_9.6.19,ACTR078_9.6.19,ACLE012_9.6.19,ACLE013_9.6.19,ACTR077_9.6.19,ZEFL028B_9.6.19,ZEFL029B_9.6.19,ACNF017_9.6.19,ACNF018_9.6.19_dupACNF019_20,ACNF019_9.6.19_dupACNF018_20,ACNF020_9.6.19_dupACNF018_19,ACNF021_9.6.19,ACNF023_9.6.19,ACNF024_9.6.19,ACNF025_9.6.19,ACNF026_8.19,ACNF027_9.6.19_dupACNF028,ACNF028_8.19_dupACNF027,ACNF029_9.6.19_dupACNF030_31,ACNF030_9.6.19_dupACNF029_31,ACNF031_9.6.19_dupACNF029_30,ACNF032_9.6.19,ACNF033_9.6.19,ACNF034_8.19,ACNF035_9.6.19_dupACNF036,ACNF036_9.6.19_dupACNF035,ACNF037_9.6.19,ACNF038_9.6.19_dupACNF039,ACNF039_9.6.19_dupACNF038,ACNF041_9.6.19,ACNF042_9.6.19,ACNF043_8.19,ACNF044_8.19,ACNF045_9.6.19,ACNF046_8.19,ACNF047_9.6.19,ACNF048_9.6.19,ACNF049_9.6.19,ACNF050_9.6.19,ACNF051_9.6.19_dupACNF052,ACNF052_8.19_dupACNF051,ACNF053_8.19,ACNF054_9.6.19,ACNF055_8.19,ACNF055_9.6.19,ACNF055-dup_8.19,ACNF055-dup_9.6.19,ACNF056_8.19,ACNF057_9.6.19,ACNF058_9.6.19,ACNF059_9.6.19,ACNF060_8.19,ACNF061-1_9.6.19,ACNF061-2_9.6.19,ACNF062_9.6.19,ACNF063_8.19,ACNF065_9.6.19,ACNF066_8.19,ACNF067_9.6.19,ACNF068_9.6.19,ACNF081_9.6.19,ACNF081-dup_8.19,ACNF081-dup_9.6.19,ACNF082_9.6.19,ACNF083-1_9.6.19,ACNF083-2_9.6.19,ACNF084-1_9.6.19,ACNF084-2_9.6.19,ACNF085-1_9.6.19,ACNF085-2_9.6.19,ACNF086-1_9.6.19,ACNF086-2_9.6.19,ACNF087-1_9.6.19,ACNF087-2_9.6.19,ACNF088_9.6.19,ACNF088-dup_8.19,ACNF088-dup_9.6.19,ACNF089_9.6.19,ACNF090-1_9.6.19,ACNF090-2_9.6.19,ACNF099-1_9.6.19,ACNF099-2_9.6.19,ACNF116_9.6.19,ACNF117_9.6.19,ACNF118_9.6.19,ACNF119_9.6.19,ACLE014_9.6.19,ACLE011_9.6.19,ZEFL004_9.6.19,ZEFL028A_9.6.19,ACNF125_9.6.19,ACNI001-1_9.6.19,ACNI001-2_9.6.19,NALI004B_9.6.19,NALI004C_9.6.19,ACNI004_S120_9.6.19,ACNI005A_S84_9.6.19,ACNI005B_S64_9.6.19,ACNI006_S201_8.19,ACOL001_S203_8.19,ACTR010_S43_9.6.19,ACTR011_S75_9.6.19,ACTR014_S78_9.6.19,ACTR015_S68_9.6.19,ACTR025A_S180_8.19,ACTR029_S184_9.6.19_dupACTR030_31,ACTR030_S146_9.6.19_dupACTR029_31,ACTR030.dup_S147_9.6.19_dupACTR029_31,ACTR030.dup_S212_8.19_dupACTR029_31,ACTR031-1_S66_9.6.19_dupACTR029_30,ACTR031-2_S137_9.6.19_dupACTR029_30,ACTR031-dup_S67_9.6.19_dupACTR029_30,ACTR032.dup_S165_9.6.19_dupACTR033,ACTR033_S141_9.6.19_dupACTR032,ACTR033.dup_S142_9.6.19_dupACTR032,ACTR034_S59_9.6.19_dupACTR035_36,ACTR034.dup_S60_9.6.19_dupACTR035_36,ACTR035_S190_8.19_dupACTR034_36,ACTR035.dup_S191_8.19_dupACTR034_36,ACTR036-dup_S157_9.6.19_dupACTR034_35,ACTR037_S103_9.6.19_dupACTR038_39,ACTR038_S85_9.6.19_dupACTR037_39,ACTR039_S158_9.6.19_dupACTR037_38,ACTR040_S213_8.19_dupACTR041_42,ACTR041_S91_9.6.19_dupACTR040_42,ACTR043_S126_9.6.19_dupACTR44,ACTR044_S107_9.6.19_dupACTR43,ACTR045_S71_9.6.19_dupACTR046_47,ACTR046_S40_9.6.19_dupACTR045_47,ACTR047_S42_9.6.19_dupACTR045_46,ACTR048_S90_9.6.19_dupACTR049,ACTR049_S69_9.6.19_dupACTR048,ACTR050_S50_9.6.19_dupACTR051_52,ACTR051_S62_9.6.19_dupACTR050_52,ACTR052_S131_9.6.19_dupACTR050_51,ACTR053_S192_8.19_dupACTR054_55,ACTR054_S161_9.6.19_dupACTR053_55,ACTR055_S209_8.19_dupACTR053_54,ACTR056_S183_8.19_dupACTR057_58,ACTR057_S113_9.6.19_dupACTR056_58,ACTR058_S187_8.19_dupACTR056_57,ACTR059_S184_8.19_dupACTR060_61,ACTR060_S134_9.6.19_dupACTR059_61,ACTR061_S41_9.6.19_dupACTR059_60,ACTR062_S48_9.6.19,ACTR063_S49_9.6.19,ACTR064_S195_8.19,ACTR065_S207_8.19,ACTR066_S101_9.6.19,ACTR067_S23_9.6.19,ACTR068_S61_9.6.19,ACTR069_S102_9.6.19,ACTR070_S35_9.6.19,ACTR071_S121_9.6.19,ACTR072_S37_9.6.19,ACTR081_9.6.19,ACTR081-dup_S136_9.6.19,ACTR081-dup_S179_8.19,ACTR074_S182_8.19,ACTR082_9.6.19,ACTR082-2_S106_9.6.19,ACTR083_8.19,ACTR083-2_S208_8.19,ACTR083A_S185_9.6.19,ACTR083B_S163_9.6.19,ACTR084_S10_9.6.19,ACTR084_8.19,ACTR084-dup_S11_9.6.19,ACTR084-dup_S172_8.19,ACTR076_S92_9.6.19,ACTR085_9.6.19,ACTR086_9.6.19,ACTR087_9.6.19,ACLE002C_9.6.19,ACTR096_9.6.19,ACTR097_9.6.19,ACTR099_9.6.19,ACTR103_8.19,NALI005A_9.6.19,ACTR085-2_S139_9.6.19,NALI005B_9.6.19,ACTR086-dup_S174_8.19,ACTR086-dup_S77_9.6.19,ACNI002_9.6.19,ACTR087-2_S63_9.6.19,ACTR087B_S166_8.19,ACTR087B_S172_9.6.19,ACTR090_S189_9.6.19,ACTR595_9.6.19,ACTR596_9.6.19,ACTR597_9.6.19,ACTR098_S5_9.6.19,ACTR101_S31_9.6.19,ACTR102_S17_9.6.19,ACTR105A_S168_9.6.19,ACTR106_S170_9.6.19,ACTR107_S165_8.19,ACTR110_S162_9.6.19,CTST019_9.6.19,NALI006A_9.6.19,NALI006B_9.6.19,NALI006C_9.6.19,ACLE010A_9.6.19,ACTR139_S57_9.6.19,ACTR140_S130_9.6.19,ACTR141_S170_8.19,ACTR142_S204_8.19,ACTR143_S185_8.19,ACTR144_S202_8.19,ACTR145_S199_8.19,ACTR146_S182_9.6.19,ACLE003C_9.6.19,ACTR135_9.6.19,ACTR136_9.6.19,ACTR137_9.6.19,ACTR138_9.6.19,ACNF120_9.6.19,ACNF121_9.6.19,ACNF122_9.6.19,ACNF123_9.6.19,ACNF123_9.6.19,ACTR600_S236_8.19,ACTR601_S233_8.19,ACTR602_S202_9.6.19,ACTR605_S235_8.19,ACTR606_S21_9.6.19,ACTR607_S224_8.19,ACTR608_S231_8.19,ACTR610_S203_9.6.19,ACTR611_S52_9.6.19,ACTR612_S55_9.6.19,ACTR132_9.6.19,CTST020_S243_8.19,GU1B_11.17,GU2B_11.17,GU2C_11.17,LE10B_11.17,LE10C_15ul_11.17,LE1A_11.17,LE1B_15ul_11.17,LE3A_11.17,LE7A_11.17,LE7B_11.17,LE7C_11.17,NALI002A_S132_9.6.19,NALI002B_S45_9.6.19,ACTR091_9.6.19,ACTR092_9.6.19,ACTR094_9.6.19,ACTR095_9.6.19,NALI003B_9.6.19,NALI004A_9.6.19,ACTR073_9.6.19,ACTR074_9.6.19,ACTR074_9.6.19,ACTR075_9.6.19,ACTR075_9.6.19,NALI1A_11.17,NALI1B_11.17,NAUN1B_15ul_11.17,NAUN1C_11.17,NAUN1D_11.17,NAUN1E_11.17,NF40_11.17,NF69_11.17,NF70_11.17,NF71_11.17,NF72_11.17,NF73_11.17,NF74_11.17,NF75_11.17,NF76_11.17,NF77_11.17,NF78_11.17,NF79_11.17,NF80_11.17,NF91_15ul_11.17,NF92_15ul_11.17,NF93_11.17,NF94_15ul_11.17,NF95_15ul_11.17,NF96_15ul_11.17,NF97_15ul_11.17,ST10_11.17,ST12_11.17,ST13_11.17,ST14_11.17,ST15_11.17,ST16_11.17,ST17_11.17,TR116_11.17,TR117_11.17,TR118_11.17,TR119_11.17,TR120_11.17,TR121_11.17,TR122_11.17,TR123_11.17,TR124_11.17,TR125_11.17,TR127_11.17,TR128_11.17,TR129_11.17,TR130_11.17,TR131_11.17,TR133A_11.17,TR42_15ul_11.17_dupACTR040_41,TR84_25cyc_11.17,TR84_35cyc_11.17,TR85_15ul_11.17,TR85_25cyc_11.17,TR85_35cyc_11.17,TR86_15ul_11.17,TR86_25cyc_11.17,TR86_35cyc_11.17,ZE10_11.17,ZE11_11.17,ZE12_11.17,ZE13_11.17,ZE14_11.17,ZE15_11.17,ZE16_11.17,ZE17_15ul_11.17,ZE17_5ul_11.17,ZE18_11.17,ZE19_15ul_11.17,ZE19_5ul_11.17,ZE20_11.17,ZE21_15ul_11.17,ZE21_5ul_11.17,ZE22_15ul_11.17_dupZEFL023,ZE23_11.17_dupZEFL022,ZE26_11.17,ZE27_11.17,ZE3_11.17,ZE5_11.17,ZE6_11.17,ZE7_11.17,ZE8_11.17,ZE9_11.17,ACTR079_9.6.19,ACNF124_9.6.19,ACLE015_9.6.19,ACLE016_8.19,ACLE016_9.6.19
Dasya iridescens,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,Dasya iridescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasya kristeniae,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,Dasya kristeniae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,17,0,0,0,36,0,0,0,0,0,0,7,0,0,3,0,2,3,0,1,0,200,0,0,16,144,16,81,244,0,0,0,0,11,6,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,36,98,4,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,15,0,45,0,0,0,0,0,0,0,0,0,0,0,71,0,3,7,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,123,41,12,418,0,0,10,7,9,404,60,2,28,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
Dasya sp.,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya,Dasya sp. ARS-2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2666,845,0,102,392,0,0,59,0,0,0,8,0,0,0,0,0,0,44,0,122,224,990,182,136,2492,2755,489,26,99,1684,4,80,22,179,150,1877,12,0,0,0,0,0,190,2,4,0,0,0,0,0,0,0,0,0,0,2,64,0,0,121,0,7,440,0,9,0,0,523,238,0,461,1011,161,285,38,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,10,654,2022,0,39,181,0,0,0,104,0,0,0,15,0,0,0,47,0,0,33,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,12,317,69,504,3407,6,475,1178,0,0,0,0,29,27,0,0,24,26,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,72,24,0,0,0,1,26,0,56,0,330,119,0,0,0,0,0,237,0,0,0,0,0,0,0,0,34,266,0,0,1548,644,0,255,0,0,0,8,0,41,0,0,0,45,31,27,0,2457,0,2,3520,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,61,0,135,0,0,0,19,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,198,496,109,182,21,0,72,106,0,10339,3,1133,0,0,0,147,11,0,0,3,10,0,27,0,0,0,131,74,14,20,148,0,0,0,0,0,0,0,132,10,0,1,0,430,314,1,566,0,174,67,0,0,0
Dasya sp.,genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasya sp.,Dasya sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1092,215,0,0,44,75,368,0,3,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,12,0,0,0,19,0,36,49,0,0,0,35,0,0,0,4,13,75,97,74,0,41,93,100,0,0,0,67,0,10,0,0,0,0,500,54,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,37,37,0,0,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,204,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,23,0,0,0,0,1,0,0,0,0
Heterosiphonia crispella,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Heterosiphonia,Heterosiphonia crispella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,41,433,0,0,0,1,0,107,0,0,10,0,0,0,0,39,0,0,0,313,13,0,63,5,22,0,56,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,131,478,0,0,0,0,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,19,21,0,0,0,0,0,5,0,0,0,38,0,0,14,17,25,0,17,0,12,3,7,0,5,19,3,0,12,0,12,0,0,0,0,38,119,29,12,249,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,5,0,28,0,1,0,101,0,0,0,6,0,0,0,0,31,0,0,12,43,6,3583,5,0,0,1104,0,2011,0,0,0,493,0,0,96,30,25,609,440,82,0,0,0,0,0
Dasyaceae,family,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Dasyaceae,Dasyaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980,26,6,0,2,22,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,39,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,137,0,0,0,0,0,5,0,0,26,0,0,0,0,0,0,0,82,9,26,0,83,0,119,138,181,0,193,16,0,0,197,0,22,49,0,22,18,52,0,159,721,83,302,61,12,26,225,55,117,48,91,0,0,115,124,140,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,10,41,450,527,20,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62,0,0,0,0,0,0,0,9,0,37,0,0,0,33,0,0,0,0,33,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815,0,0,91,0,0,309,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,413,0,2589,0,113,0,0,0,0,0,0,63,232,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,3,0,0,0,0,0,0,0,0,0
Acanthophora spicifera,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Acanthophora,Acanthophora spicifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5345,62,0,0,95,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,107,331,202,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amansia glomerata,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Amansia,Amansia glomerata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,0,52,0,14,0,0,0,17,16,1,0,0,0,0,0,17,16,0,0,0,0,0,0,10,21,0,39,0,0,0,9,4,30,121,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,28,4,0,267,0,0,0,0,10,0,0,0,0,33,46,66,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,55,10,0,22,0,0,0,20,0,6,4,19,0,0,0,0,0,0,6,6,0,0,0,0,35,60,2,0,0,39,0,0,37,0,82,23,55,0,0,0,0,81,0,8,11,0,76,25,0,0,6,0,132,61,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,20,0,0,2,0,16,0,14,0,0,0,0,46,13,0,1,0,0,0,0,0,0,0,8,92,0,0,0,32,0,0,0,4,149,2,0,0,0,69,970,0,0,0,0,0,0,0,0,0,0,0,0,0,41,162,93,0,0,0,0,3,0,0,0,1,0,25,0,41,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,50,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,0,0,13,0,0,133,0,0,0,0,19,0,0,0,0,0,0,0,74,0,165,61,0,0,6,0,0,0,0,620,0,0,0
Chondria sp. ,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Chondria,Chondria sp. ARS-2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,468,0,0,0,1592,379,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90,27,21,1357,957,56,90,466,426,762,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,115,0,538,0,0,18,22,0,0,0,0,17,3,8,143,92,0,0,0,0,748,27,72,0,863,0,323,385,125,0,112,529,0,0,1065,773,241,688,625,137,415,440,105,358,587,503,89,603,235,417,514,899,353,666,436,713,352,230,109,182,316,44,123,2011,0,0,0,0,0,0,0,98,0,34,0,30,10,55,76,0,55,0,85,0,0,0,0,5,19,0,3,0,38,0,0,0,0,0,0,1,0,0,0,29,0,0,0,55,0,0,750,38,198,31,0,0,0,0,210,8,0,0,0,0,4,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,28,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,52,0,0,0,0,0,0,0,0,1663,1089,1047,1347,0,0,0,44,0,14,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,37,0,0,437,110,280,558,0,140,0,0,32,857,366,442,72,216,188,0,59,66,616,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,0,8,55,0,0,0,0,68,0,0,0
Herposiphonia sp. ,species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Herposiphonia,Herposiphonia sp. ARS-2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,14,0,15,0,0,5,0,0,0,116,8,0,0,2,1,9,406,269,351,201,60,331,488,439,1248,1512,4338,42,280,0,188,0,58,53,74,0,21,0,106,73,0,0,0,0,0,775,234,221,674,260,2,0,93,7,12,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,41,15,38,0,630,0,177,24,142,51,0,8,0,0,0,0,0,1,1161,39,14,21,0,12,0,0,0,18,9,396,0,363,27,0,0,3,0,258,35,8,38,0,13,164,58,267,620,200,143,40,0,6,155,35,18,7,7,0,473,36,34,3,138,136,1205,44,4790,160,21,270,137,35,421,0,808,0,29,22,296,388,36,171,76,229,0,0,0,610,213,257,0,147,1327,255,0,0,469,0,395,0,0,331,0,0,20,0,0,0,261,1018,234,31,0,0,0,0,0,0,0,0,5,160,0,6,0,0,0,0,0,43,15,0,6,32,38,0,19,0,0,0,0,0,87,0,0,0,213,192,83,0,0,0,0,19,0,119,20,209,0,0,2,0,0,39,138,204,515,0,0,0,0,27,0,0,15,0,13,82,0,279,0,0,0,735,0,51,318,0,0,0,80,58,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,3600,746,1039,3413,904,1258,953,1324,3411,1387,0,1464,170,1094,427,91,69,106,1932,728,363,1360,225,315,563,0,0,9,8,7,0,0,16,0,0,124,0,53,0,0,1,0,401,5,0,0,102,0,10,1,63,111,39,18,0
